Elementos: 195, work_group_size: 15, Grupos:13
Elementos: 196, work_group_size: 4, Grupos:49
Elementos: 197, work_group_size: 1, Grupos:197
Elementos: 198, work_group_size: 22, Grupos:9
Elementos: 199, work_group_size: 1, Grupos:199
Elementos: 200, work_group_size: 25, Grupos:8
Elementos: 201, work_group_size: 3, Grupos:67
Elementos: 202, work_group_size: 2, Grupos:101
Elementos: 203, work_group_size: 7, Grupos:29
Elementos: 204, work_group_size: 4, Grupos:51
Elementos: 205, work_group_size: 5, Grupos:41
Elementos: 206, work_group_size: 2, Grupos:103
Elementos: 207, work_group_size: 23, Grupos:9
Elementos: 208, work_group_size: 26, Grupos:8
Elementos: 209, work_group_size: 19, Grupos:11
Elementos: 210, work_group_size: 21, Grupos:10
Elementos: 211, work_group_size: 1, Grupos:211
Elementos: 212, work_group_size: 4, Grupos:53
Elementos: 213, work_group_size: 3, Grupos:71
Elementos: 214, work_group_size: 2, Grupos:107
Elementos: 215, work_group_size: 5, Grupos:43
Elementos: 216, work_group_size: 8, Grupos:27
Elementos: 217, work_group_size: 7, Grupos:31
Elementos: 218, work_group_size: 2, Grupos:109
Elementos: 219, work_group_size: 1, Grupos:219
Elementos: 220, work_group_size: 4, Grupos:55
Elementos: 221, work_group_size: 17, Grupos:13
Elementos: 222, work_group_size: 6, Grupos:37
Elementos: 223, work_group_size: 1, Grupos:223
Elementos: 224, work_group_size: 28, Grupos:8
Elementos: 225, work_group_size: 25, Grupos:9
Elementos: 226, work_group_size: 2, Grupos:113
Elementos: 227, work_group_size: 1, Grupos:227
Elementos: 228, work_group_size: 4, Grupos:57
Elementos: 229, work_group_size: 1, Grupos:229
Elementos: 230, work_group_size: 23, Grupos:10
Elementos: 231, work_group_size: 21, Grupos:11
Elementos: 232, work_group_size: 29, Grupos:8
Elementos: 233, work_group_size: 1, Grupos:233
Elementos: 234, work_group_size: 26, Grupos:9
Elementos: 235, work_group_size: 5, Grupos:47
Elementos: 236, work_group_size: 4, Grupos:59
Elementos: 237, work_group_size: 3, Grupos:79
Elementos: 238, work_group_size: 17, Grupos:14
Elementos: 239, work_group_size: 1, Grupos:239
Elementos: 240, work_group_size: 16, Grupos:15
Elementos: 241, work_group_size: 1, Grupos:241
Elementos: 242, work_group_size: 22, Grupos:11
Elementos: 243, work_group_size: 27, Grupos:9
Elementos: 244, work_group_size: 4, Grupos:61
Elementos: 245, work_group_size: 7, Grupos:35
Elementos: 246, work_group_size: 6, Grupos:41
Elementos: 247, work_group_size: 19, Grupos:13
Elementos: 248, work_group_size: 8, Grupos:31
Elementos: 249, work_group_size: 3, Grupos:83
Elementos: 250, work_group_size: 25, Grupos:10
Elementos: 251, work_group_size: 1, Grupos:251
Elementos: 252, work_group_size: 4, Grupos:63
Elementos: 253, work_group_size: 23, Grupos:11
Elementos: 254, work_group_size: 2, Grupos:127
Elementos: 255, work_group_size: 17, Grupos:15
Elementos: 256, work_group_size: 32, Grupos:8
Elementos: 257, work_group_size: 1, Grupos:257
Elementos: 258, work_group_size: 6, Grupos:43
Elementos: 259, work_group_size: 7, Grupos:37
Elementos: 260, work_group_size: 4, Grupos:65
Elementos: 261, work_group_size: 29, Grupos:9
Elementos: 262, work_group_size: 2, Grupos:131
Elementos: 263, work_group_size: 1, Grupos:263
Elementos: 264, work_group_size: 33, Grupos:8
Elementos: 265, work_group_size: 5, Grupos:53
Elementos: 266, work_group_size: 19, Grupos:14
Elementos: 267, work_group_size: 1, Grupos:267
Elementos: 268, work_group_size: 4, Grupos:67
